0,Boss,4448,Warrior,2947,Rogue,980,Mage,995,Moonkin Druid,981,
1,Boss,4392,Warrior,2913,Rogue,960,Mage,986,Moonkin Druid,962,
2,Boss,4323,Warrior,2858,Rogue,946,Mage,976,Moonkin Druid,954,
3,Boss,4281,Warrior,2803,Rogue,935,Mage,962,Moonkin Druid,944,
4,Boss,4249,Warrior,2751,Rogue,925,Mage,944,Moonkin Druid,934,
5,Boss,4186,Warrior,2698,Rogue,909,Mage,926,Moonkin Druid,926,
6,Boss,4127,Warrior,2645,Rogue,896,Mage,917,Moonkin Druid,913,
7,Boss,4060,Warrior,2590,Rogue,886,Mage,911,Moonkin Druid,906,
8,Boss,4013,Warrior,2545,Rogue,876,Mage,894,Moonkin Druid,896,
9,Boss,3957,Warrior,2492,Rogue,866,Mage,875,Moonkin Druid,876,
10,Boss,3913,Warrior,2438,Rogue,857,Mage,856,Moonkin Druid,861,
11,Boss,3867,Warrior,2384,Rogue,847,Mage,838,Moonkin Druid,849,
12,Boss,3821,Warrior,2332,Rogue,828,Mage,824,Moonkin Druid,843,
13,Boss,3765,Warrior,2286,Rogue,816,Mage,813,Moonkin Druid,827,
14,Boss,3724,Warrior,2241,Rogue,806,Mage,797,Moonkin Druid,810,
15,Boss,3690,Warrior,2196,Rogue,798,Mage,789,Moonkin Druid,796,
16,Boss,3638,Warrior,2151,Rogue,789,Mage,776,Moonkin Druid,776,
17,Boss,3603,Warrior,2096,Rogue,775,Mage,759,Moonkin Druid,761,
18,Boss,3547,Warrior,2048,Rogue,764,Mage,741,Moonkin Druid,751,
19,Boss,3489,Warrior,2002,Rogue,747,Mage,732,Moonkin Druid,732,
20,Boss,3451,Warrior,1948,Rogue,729,Mage,715,Moonkin Druid,721,
21,Boss,3403,Warrior,1899,Rogue,710,Mage,700,Moonkin Druid,702,
22,Boss,3352,Warrior,1852,Rogue,702,Mage,694,Moonkin Druid,694,
23,Boss,3289,Warrior,1802,Rogue,690,Mage,679,Moonkin Druid,689,
24,Boss,3237,Warrior,1747,Rogue,673,Mage,674,Moonkin Druid,682,
25,Boss,3195,Warrior,1694,Rogue,656,Mage,654,Moonkin Druid,669,
26,Boss,3153,Warrior,1646,Rogue,642,Mage,639,Moonkin Druid,664,
27,Boss,3102,Warrior,1592,Rogue,628,Mage,625,Moonkin Druid,659,
28,Boss,3053,Warrior,1543,Rogue,622,Mage,618,Moonkin Druid,647,
29,Boss,3017,Warrior,1488,Rogue,614,Mage,613,Moonkin Druid,627,
30,Boss,2982,Warrior,1454,Rogue,602,Mage,602,Moonkin Druid,620,
31,Boss,2942,Warrior,1419,Rogue,587,Mage,583,Moonkin Druid,604,
32,Boss,2899,Warrior,1373,Rogue,572,Mage,566,Moonkin Druid,603,
33,Boss,2845,Warrior,1347,Rogue,557,Mage,553,Moonkin Druid,587,
34,Boss,2812,Warrior,1295,Rogue,540,Mage,547,Moonkin Druid,574,
35,Boss,2781,Warrior,1248,Rogue,521,Mage,550,Moonkin Druid,563,
36,Boss,2727,Warrior,1223,Rogue,505,Mage,543,Moonkin Druid,557,
37,Boss,2687,Warrior,1171,Rogue,496,Mage,526,Moonkin Druid,552,
38,Boss,2624,Warrior,1140,Rogue,476,Mage,514,Moonkin Druid,544,
39,Boss,2573,Warrior,1088,Rogue,468,Mage,502,Moonkin Druid,530,
40,Boss,2546,Warrior,1060,Rogue,454,Mage,486,Moonkin Druid,524,
41,Boss,2495,Warrior,1006,Rogue,435,Mage,479,Moonkin Druid,529,
42,Boss,2449,Warrior,978,Rogue,424,Mage,467,Moonkin Druid,519,
43,Boss,2401,Warrior,943,Rogue,410,Mage,450,Moonkin Druid,509,
44,Boss,2363,Warrior,916,Rogue,399,Mage,431,Moonkin Druid,495,
45,Boss,2331,Warrior,864,Rogue,381,Mage,425,Moonkin Druid,487,
46,Boss,2301,Warrior,810,Rogue,375,Mage,424,Moonkin Druid,480,
47,Boss,2247,Warrior,785,Rogue,363,Mage,404,Moonkin Druid,473,
48,Boss,2185,Warrior,754,Rogue,351,Mage,388,Moonkin Druid,454,
49,Boss,2125,Warrior,699,Rogue,341,Mage,376,Moonkin Druid,439,
50,Boss,2088,Warrior,667,Rogue,329,Mage,371,Moonkin Druid,429,
51,Boss,2028,Warrior,639,Rogue,319,Mage,356,Moonkin Druid,409,
52,Boss,1974,Warrior,605,Rogue,311,Mage,337,Moonkin Druid,389,
53,Boss,1927,Warrior,559,Rogue,291,Mage,321,Moonkin Druid,388,
54,Boss,1868,Warrior,510,Rogue,272,Mage,301,Moonkin Druid,373,
55,Boss,1817,Warrior,476,Rogue,260,Mage,282,Moonkin Druid,362,
56,Boss,1774,Warrior,425,Rogue,248,Mage,275,Moonkin Druid,348,
57,Boss,1716,Warrior,375,Rogue,236,Mage,269,Moonkin Druid,329,
58,Boss,1665,Warrior,350,Rogue,218,Mage,251,Moonkin Druid,315,
59,Boss,1617,Warrior,304,Rogue,210,Mage,251,Moonkin Druid,309,
60,Boss,1552,Warrior,254,Rogue,218,Mage,234,Moonkin Druid,297,
61,Boss,1492,Warrior,228,Rogue,210,Mage,221,Moonkin Druid,277,
62,Boss,1431,Warrior,177,Rogue,204,Mage,208,Moonkin Druid,262,
63,Boss,1367,Warrior,130,Rogue,189,Mage,190,Moonkin Druid,251,
64,Boss,1314,Warrior,77,Rogue,196,Mage,171,Moonkin Druid,232,
65,Boss,1267,Warrior,23,Rogue,186,Mage,165,Moonkin Druid,212,
6662,3233
